location,1990,1995,2000,2005,2010,2015,2019
Argentina,169.66998089417945,173.8981838774377,182.14472650965547,181.11481291161138,180.07338619237274,179.18940557086736,187.67254847765133
Australia,184.18313166118264,192.67594321326692,193.3110397492272,194.89610445320045,200.85215028153,204.9697686808796,215.01927243770163
Brazil,78.84114203801458,84.61197026545013,93.10127961013973,99.67650888747968,107.69016323147682,115.01473591739155,122.12532507342611
Canada,195.9722289685859,202.87002235299025,207.70482304508982,216.6264714419313,224.16505736280985,233.62032624126357,251.7395755834536
China,123.10923870925328,129.65108553799624,143.3887432943932,157.98039031545966,165.80235594288848,172.88056366633054,190.66292923573639
Egypt,42.284929811734315,43.41357214677178,45.07314204986317,50.710147104983044,55.00598799942012,57.00689501178329,58.353326374939094
Finland,204.55687245786223,204.8636580899753,207.65370397476346,216.96429805870108,231.69883229420992,245.50703738889885,259.06847477052753
Germany,251.23655647269308,258.5111726883713,293.5405984949972,315.3020770875093,313.8985653410334,309.622334492072,318.58736813166706
India,43.93490079336028,44.97528988595147,48.303354633367796,48.67306135920337,53.2153076538562,60.33333950255593,66.84044731465202
Iran,45.43738162072726,47.56482499855621,48.22969963549923,53.00382152695986,60.90062869069854,72.9877542633517,79.1001913691074
Japan,191.88791981992162,222.85019307499851,248.56124120958447,275.92030776286595,300.45230365729907,322.0047891546891,342.5549478497883
Kenya,29.661593748899183,30.222059991399842,32.0576661984398,37.00788085502498,42.0853576155217,43.315425585944915,46.2389872777498
Mexico,54.75466115261217,57.70744969895848,59.71625149332941,64.21280267712854,68.56253752513804,75.59125451800199,84.51310526551812
Mongolia,135.52333883961657,141.8465571270995,139.73558930697703,143.46983391417479,155.39781600029636,158.4451909371161,175.87470995599497
South Africa,74.97670372474076,85.03939940247453,100.88879945701777,95.07384569554101,98.49860060949587,102.6904146224357,98.17437256354246
Sudan,41.45019440328443,39.91297654569773,37.93034021247673,38.85716014923638,38.9635427238313,40.41479742962525,41.824193391267286
United Kingdom,293.0473648013802,287.61259650671195,276.0342342114118,268.08075100406774,265.3680231307556,276.13708187234585,288.18832765066975
United States of America,210.400317598638,215.59386731417186,212.1560546021654,206.38308910958347,207.00674523237757,215.53714477752845,232.68162389549715
Zambia,58.24265371499034,60.453053578267294,58.151586628545004,54.55561808388425,52.968148020924104,51.814303816824676,53.55679092237275
